"","Name","Team","Gm","season","Age","Salary","AAV","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"fleurma84-20122013","Marc-Andre.Fleury","PIT",33,"20122013",27,"5.500","5.000",91.6,92.47,28.46,1857.3,98.03,91.89,81.03,74,807,881,8,398,18,204,48,205
"bishobe86-20142015","Ben.Bishop","T.B",62,"20142015",27,"2.400","2.300",91.6,92.49,27.65,3515.3,96.77,91.94,83.78,136,1484,1620,23,688,34,388,79,408
"theodjo76-20102011","Jose.Theodore","MIN",32,"20102011",34,"1.100","1.100",91.59,92.35,32.26,1791.1,97.32,93.45,80.53,81,882,963,11,400,19,271,51,211
"wardxca84-20082009","Cam.Ward","CAR",68,"20082009",24,"2.500","2.667",91.58,92.47,29.05,3926.7,97.38,91.81,82.51,160,1741,1901,21,780,47,527,92,434
"smithmi82-20082009","Mike.Smith","T.B",41,"20082009",26,"0.950","0.950",91.58,91.98,31.16,2468.2,96.5,92.57,81.63,108,1174,1282,21,579,26,324,61,271
"dubnyde86-20102011","Devan.Dubnyk","EDM",35,"20102011",24,"0.800","0.800",91.57,92.65,32.13,2059.5,97.86,92.01,82.04,93,1010,1103,10,457,25,288,58,265
"bouchbr77-20102011","Brian.Boucher","PHI",34,"20102011",33,"0.925","0.925",91.57,91.88,28.73,1883.6,95.04,91.39,85.53,76,826,902,21,402,21,223,34,201
"backsni78-20102011","Niklas.Backstrom","MIN",51,"20102011",32,"6.000","6.000",91.57,92.28,31.59,2974.7,96.83,92.05,82.68,132,1434,1566,22,671,35,405,75,358
"thomati74-20092010","Tim.Thomas","BOS",42,"20092010",35,"6.000","5.000",91.56,92.53,30.13,2381.6,97.9,92.4,81.05,101,1095,1196,11,513,25,304,65,278
"masonst88-20082009","Steve.Mason","CBJ",61,"20082009",20,"0.850","0.850",91.56,92.28,27.19,3658.3,96.54,92.79,82.56,140,1518,1658,26,726,31,399,83,393
"quickjo86-20132014","Jonathan.Quick","L.A",49,"20132014",27,"7.000","5.800",91.55,92.51,24.45,2903.6,97.77,92.98,80.69,100,1083,1183,12,525,21,278,67,280
"fleurma84-20132014","Marc-Andre.Fleury","PIT",64,"20132014",28,"5.750","5.000",91.54,92.1,28.08,3791,96.95,91.02,82.7,150,1624,1774,25,796,43,436,82,392
"greisth86-20112012","Thomas.Greiss","S.J",19,"20112012",25,"0.550","0.588",91.53,91.66,27.15,1043.2,94.83,93.44,83.05,40,432,472,12,220,8,114,20,98
"hedbejo73-20092010","Johan.Hedberg","ATL",47,"20092010",36,"1.087","1.087",91.52,92.75,30.94,2630,96.69,93.24,83.75,115,1241,1356,18,525,25,345,72,371
"wardxca84-20112012","Cam.Ward","CAR",68,"20112012",27,"6.300","6.300",91.51,92.25,32.27,3984.4,96.83,92.96,81.64,182,1961,2143,31,948,39,515,112,498
"scrivbe86-20122013","Ben.Scrivens","TOR",20,"20122013",26,"0.600","0.613",91.51,91.62,31.75,1024.2,96.65,94.33,78.03,46,496,542,9,260,8,133,29,103
"smithmi82-20132014","Mike.Smith","PHX",62,"20132014",31,"4.000","5.667",91.5,92.32,31.12,3607.3,96.4,89.84,85.97,159,1712,1871,29,777,51,451,79,484
"rolosdw69-20082009","Dwayne.Roloson","EDM",63,"20082009",38,"3.000","3.667",91.5,92.36,32.61,3593.2,97.28,91.56,82.51,166,1787,1953,23,824,47,510,96,453
"millery80-20122013","Ryan.Miller","BUF",40,"20122013",32,"6.250","6.250",91.5,92.62,33.12,2300.7,96.6,91.91,84.71,108,1162,1270,17,483,30,341,61,338
"greisth86-20122013","Thomas.Greiss","S.J",6,"20122013",26,"0.625","0.588",91.5,91.83,29.8,308.1,94.03,85.71,93.18,13,140,153,4,63,6,36,3,41
"bironma77-20082009","Martin.Biron","PHI",55,"20082009",31,"3.500","3.500",91.5,91.97,32.47,3174.7,97.34,92.87,79.45,146,1572,1718,21,768,35,456,90,348
"lindban88-20102011","Anders.Lindback","NSH",22,"20102011",22,"0.637","0.688",91.49,92.61,30.59,1129.9,97.96,90.62,83.04,49,527,576,5,240,15,145,29,142
"bobrose88-20102011","Sergei.Bobrovsky","PHI",54,"20102011",21,"0.900","0.900",91.49,92.23,30.38,3015.4,96.26,91.08,84.68,130,1397,1527,25,643,37,378,68,376
"wardxca84-20092010","Cam.Ward","CAR",46,"20092010",25,"3.500","2.667",91.47,92.79,31.84,2583.4,97.03,94.13,82.27,117,1254,1371,16,523,23,369,78,362
"niemian83-20112012","Antti.Niemi","S.J",68,"20112012",28,"3.200","3.800",91.47,92.01,28.46,3932.5,96.71,92.03,81.82,159,1706,1865,29,853,38,439,92,414
